Format Version,1.23,Take Name,4_2_dyn_002,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2020-06-18 04.28.37.151 ,Total Frames in Take,4312,Total Exported Frames,4312,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.044444,-0.255893,0.169383,-0.667563,-0.678372,0.092396,0.204166,0.336323,0.203485,0.692169,0.141027,0.357949,0.427418,0.017239,0.345848,0.417893,0.272842,0.225260,0.293996,0.132854,0.205985,0.293356,0.163449,0.092733,0.558147,-0.141658,0.088260,0.293691,-0.142915,0.062239,0.539941,0.405954,-0.031820,0.294885,0.115398,-0.050994,0.693935,0.128595,-0.071482,0.294810,0.137095,-0.189134,0.423119,-0.009989,-0.201595,0.417242,0.250168,0.064691,0.276465,0.402172,,,,,,,,,,,,,,,,,,,,,,,,,0.091210,0.238959,0.330242,0.089428,0.181096,0.309872,0.096549,0.192443,0.368855
17,0.047222,-0.259567,0.173281,-0.664282,-0.679211,0.092418,0.204471,0.335928,0.203484,0.692172,0.141031,0.357949,0.427418,0.017239,0.345842,0.417905,0.272844,0.225261,0.293999,0.132855,0.205987,0.293362,0.163450,0.092735,0.558147,-0.141653,0.088264,0.293683,-0.142919,0.062227,0.539957,0.405960,-0.031821,0.294890,0.115397,-0.050996,0.693938,0.128594,-0.071480,0.294813,0.137095,-0.189134,0.423122,-0.009995,-0.201603,0.417253,0.250160,0.064686,0.276538,0.402167,,,,,,,,,,,,,,,,,,,,,,,,,0.091456,0.239572,0.330342,0.089259,0.181457,0.309189,0.096538,0.192386,0.368252
18,0.050000,-0.626249,-0.634524,0.344157,-0.294529,0.091288,0.203967,0.335221,0.203485,0.692174,0.141032,0.357952,0.427418,0.017238,0.345833,0.417920,0.272850,0.225258,0.294001,0.132855,0.205987,0.293363,0.163450,0.092737,0.558152,-0.141649,0.088267,0.293676,-0.142927,0.062214,0.539969,0.405965,-0.031820,0.294890,0.115398,-0.051003,0.693940,0.128589,-0.071483,0.294817,0.137093,-0.189133,0.423118,-0.010000,-0.201609,0.417265,0.250154,0.064677,0.276591,0.402158,,,,,,,,,,,,,,,,,,,,,,,,,0.091351,0.239861,0.329933,0.093434,0.190280,0.367252,0.089080,0.181828,0.308468
19,0.052778,-0.626851,-0.635381,0.343327,-0.292360,0.091178,0.204175,0.334709,0.203480,0.692177,0.141038,0.357952,0.427416,0.017241,0.345824,0.417930,0.272857,0.225263,0.294000,0.132856,0.205990,0.293364,0.163452,0.092745,0.558157,-0.141645,0.088277,0.293673,-0.142937,0.062200,0.539976,0.405967,-0.031821,0.294888,0.115395,-0.051011,0.693942,0.128587,-0.071488,0.294820,0.137095,-0.189125,0.423111,-0.010009,-0.201622,0.417278,0.250149,0.064665,0.276633,0.402146,,,,,,,,,,,,,,,,,,,,,,,,,0.091257,0.240057,0.329609,0.093372,0.190357,0.366668,0.088905,0.182163,0.307845
20,0.055556,-0.625414,-0.637690,0.343325,-0.290408,0.091078,0.204185,0.334145,0.203483,0.692179,0.141043,0.357960,0.427416,0.017249,0.345811,0.417938,0.272865,0.225260,0.294006,0.132857,0.205989,0.293367,0.163452,0.092759,0.558166,-0.141641,0.088289,0.293671,-0.142947,0.062179,0.539983,0.405970,-0.031820,0.294896,0.115400,-0.051013,0.693945,0.128580,-0.071486,0.294823,0.137096,-0.189120,0.423109,-0.010023,-0.201631,0.417289,0.250140,0.064645,0.276665,0.402129,,,,,,,,,,,,,,,,,,,,,,,,,0.091003,0.239727,0.329096,0.093481,0.190336,0.366146,0.088750,0.182492,0.307192
21,0.058333,-0.624806,-0.639784,0.343544,-0.286829,0.091076,0.204350,0.333701,0.203482,0.692181,0.141045,0.357969,0.427418,0.017261,0.345804,0.417947,0.272878,0.225264,0.294006,0.132858,0.205989,0.293366,0.163469,0.092774,0.558176,-0.141646,0.088314,0.293651,-0.142952,0.062167,0.539987,0.405967,-0.031823,0.294899,0.115398,-0.051014,0.693944,0.128572,-0.071487,0.294825,0.137098,-0.189108,0.423109,-0.010039,-0.201643,0.417298,0.250133,0.064629,0.276685,0.402118,,,,,,,,,,,,,,,,,,,,,,,,,0.090941,0.239892,0.328854,0.093698,0.190359,0.365622,0.088588,0.182800,0.306627
22,0.061111,-0.623997,-0.642049,0.343612,-0.283428,0.091069,0.204513,0.333229,0.203478,0.692180,0.141047,0.357978,0.427420,0.017277,0.345792,0.417947,0.272883,0.225266,0.294010,0.132860,0.205989,0.293370,0.163458,0.092804,0.558183,-0.141667,0.088329,0.293647,-0.142958,0.062156,0.539993,0.405964,-0.031823,0.294898,0.115397,-0.051014,0.693946,0.128564,-0.071483,0.294824,0.137095,-0.189099,0.423115,-0.010061,-0.201652,0.417300,0.250115,0.064606,0.276695,0.402110,,,,,,,,,,,,,,,,,,,,,,,,,0.090849,0.240068,0.328555,0.093923,0.190363,0.365172,0.088433,0.183108,0.305958
23,0.063889,-0.622413,-0.644872,0.344458,-0.279448,0.091120,0.204670,0.332791,0.203479,0.692182,0.141050,0.357994,0.427428,0.017291,0.345781,0.417943,0.272894,0.225264,0.294009,0.132861,0.205991,0.293370,0.163450,0.092828,0.558180,-0.141673,0.088346,0.293646,-0.142964,0.062140,0.539993,0.405955,-0.031820,0.294901,0.115395,-0.051012,0.693947,0.128550,-0.071483,0.294826,0.137094,-0.189083,0.423120,-0.010081,-0.201661,0.417298,0.250099,0.064591,0.276682,0.402100,,,,,,,,,,,,,,,,,,,,,,,,,0.090777,0.240233,0.328300,0.094296,0.190387,0.364693,0.088286,0.183391,0.305380
24,0.066667,0.002061,-0.088525,0.700811,-0.707830,0.091628,0.205363,0.332437,0.203483,0.692183,0.141047,0.358002,0.427431,0.017305,0.345773,0.417933,0.272903,0.225260,0.294009,0.132853,0.205990,0.293370,0.163451,0.092852,0.558173,-0.141681,0.088371,0.293649,-0.142967,0.062126,0.539993,0.405948,-0.031824,0.294901,0.115390,-0.051007,0.693946,0.128537,-0.071483,0.294824,0.137089,-0.189071,0.423122,-0.010119,-0.201671,0.417294,0.250075,0.064572,0.276664,0.402096,,,,,,,,,,,,,,,,,,,,,,,,,0.088143,0.183647,0.304811,0.090705,0.240349,0.328082,0.096038,0.192093,0.364419
25,0.069444,0.000464,-0.090579,0.700826,-0.707558,0.091516,0.205466,0.332023,0.203483,0.692180,0.141046,0.357714,0.427308,0.016928,0.345761,0.417925,0.272911,0.225261,0.294008,0.132856,0.205989,0.293374,0.163451,0.092879,0.558167,-0.141692,0.088385,0.293644,-0.142964,0.062111,0.539988,0.405938,-0.031822,0.294898,0.115387,-0.051000,0.693944,0.128518,-0.071483,0.294825,0.137086,-0.189058,0.423121,-0.010139,-0.201677,0.417292,0.250053,0.064551,0.276629,0.402092,,,,,,,,,,,,,,,,,,,,,,,,,0.087999,0.183896,0.304310,0.090616,0.240464,0.327859,0.095935,0.192039,0.363900
